"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 06, 2020","3,621.71","3,675.83","3,682.93","3,612.85","-","-1.47%"
"Oct 05, 2020","3,675.83","3,666.03","3,698.75","3,663.46","-","0.27%"
"Oct 02, 2020","3,666.03","3,635.47","3,674.00","3,591.29","-","0.84%"
"Oct 01, 2020","3,635.47","3,637.30","3,660.67","3,618.86","-","-0.05%"
"Sep 30, 2020","3,637.30","3,555.32","3,637.30","3,555.32","-","2.31%"
"Sep 29, 2020","3,555.32","3,595.39","3,595.40","3,539.67","-","-1.11%"
"Sep 28, 2020","3,595.39","3,589.04","3,632.14","3,589.04","-","0.18%"
"Sep 25, 2020","3,589.04","3,571.42","3,589.04","3,563.08","-","0.49%"
"Sep 24, 2020","3,571.42","3,520.45","3,592.59","3,520.45","-","1.45%"
"Sep 23, 2020","3,520.45","3,634.63","3,634.87","3,512.53","-","-3.14%"
"Sep 22, 2020","3,634.63","3,643.85","3,678.01","3,634.63","-","-0.25%"
"Sep 21, 2020","3,643.85","3,729.64","3,729.64","3,640.63","-","-2.30%"
"Sep 17, 2020","3,729.64","3,717.06","3,729.64","3,678.60","-","0.34%"
"Sep 16, 2020","3,717.06","3,721.71","3,723.14","3,696.64","-","-0.12%"
"Sep 15, 2020","3,721.71","3,709.84","3,735.93","3,709.84","-","0.32%"
"Sep 14, 2020","3,709.84","3,712.67","3,748.36","3,708.25","-","-0.08%"
"Sep 11, 2020","3,712.67","3,687.17","3,715.52","3,657.85","-","0.69%"
"Sep 10, 2020","3,687.17","3,771.72","3,782.86","3,673.07","-","-2.24%"
"Sep 09, 2020","3,771.72","3,826.07","3,837.57","3,771.72","-","-1.42%"
"Sep 08, 2020","3,826.07","3,854.21","3,854.21","3,814.18","-","-0.73%"
"Sep 07, 2020","3,854.21","3,810.61","3,856.48","3,810.61","-","1.14%"
"Sep 04, 2020","3,810.61","3,845.87","3,858.64","3,794.63","-","-0.92%"
"Sep 03, 2020","3,845.87","3,814.95","3,845.90","3,795.08","-","0.81%"
"Sep 02, 2020","3,814.95","3,752.95","3,828.91","3,752.95","-","1.65%"
"Sep 01, 2020","3,752.95","3,767.15","3,790.75","3,737.54","-","-0.38%"
"Aug 31, 2020","3,767.15","3,873.77","3,886.24","3,767.15","-","-2.75%"
"Aug 28, 2020","3,873.77","3,887.80","3,921.54","3,868.09","-","-0.36%"
"Aug 27, 2020","3,887.80","3,861.65","3,887.80","3,849.75","-","0.68%"
"Aug 26, 2020","3,861.65","3,897.73","3,907.75","3,855.61","-","-0.93%"
"Aug 25, 2020","3,897.73","3,962.37","3,973.03","3,885.75","-","-1.63%"
"Aug 24, 2020","3,962.37","3,994.71","4,012.08","3,956.64","-","-0.81%"
"Aug 21, 2020","3,994.71","3,977.97","3,994.87","3,967.79","-","0.42%"
"Aug 20, 2020","3,977.97","3,998.80","3,998.80","3,967.14","-","-0.52%"
"Aug 19, 2020","3,998.80","4,023.76","4,028.19","3,986.51","-","-0.62%"
"Aug 18, 2020","4,023.76","4,041.02","4,051.68","4,004.07","-","-0.43%"
"Aug 17, 2020","4,041.02","4,017.11","4,044.74","4,017.11","-","0.60%"
"Aug 14, 2020","4,017.11","4,004.99","4,027.40","4,004.99","-","0.30%"
"Aug 13, 2020","4,004.99","4,036.54","4,079.03","3,993.01","-","-0.78%"
"Aug 12, 2020","4,036.54","4,000.25","4,044.89","4,000.25","-","0.91%"
"Aug 11, 2020","4,000.25","3,984.09","4,026.26","3,984.09","-","0.41%"
