"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2019","23,110.32","23,470.37","23,470.37","23,009.23","-","-1.53%"
"Nov 08, 2019","23,470.37","23,392.03","23,537.67","23,313.53","-","0.33%"
"Nov 07, 2019","23,392.03","23,082.76","23,406.29","23,057.78","-","1.34%"
"Nov 06, 2019","23,082.76","23,737.58","23,746.06","22,937.52","-","-2.76%"
"Nov 05, 2019","23,737.58","24,106.44","24,106.50","23,519.73","-","-1.53%"
"Nov 04, 2019","24,106.44","23,838.15","24,261.23","23,838.15","-","1.13%"
"Oct 30, 2019","23,838.15","24,541.55","24,542.01","23,713.09","-","-2.87%"
"Oct 29, 2019","24,541.55","24,960.00","24,964.42","24,416.54","-","-1.68%"
"Oct 28, 2019","24,960.00","24,888.28","25,006.95","24,881.21","-","0.29%"
"Oct 25, 2019","24,888.28","25,222.48","25,222.48","24,885.04","-","-1.33%"
"Oct 24, 2019","25,222.48","24,760.10","25,222.48","24,513.82","-","1.87%"
"Oct 23, 2019","24,760.10","25,154.60","25,212.43","24,717.23","-","-1.57%"
"Oct 22, 2019","25,154.60","24,985.61","25,278.39","24,874.83","-","0.68%"
"Oct 21, 2019","24,985.61","26,136.79","26,145.33","24,851.13","-","-4.40%"
"Oct 18, 2019","26,136.79","26,043.20","26,138.18","26,019.79","-","0.36%"
"Oct 17, 2019","26,043.20","25,938.17","26,081.58","25,907.75","-","0.40%"
"Oct 16, 2019","25,938.17","25,970.69","25,970.69","25,832.83","-","-0.13%"
"Oct 15, 2019","25,970.69","25,852.00","25,970.69","25,838.34","-","0.46%"
"Oct 14, 2019","25,852.00","25,871.53","25,909.15","25,806.33","-","-0.08%"
"Oct 11, 2019","25,871.53","25,478.90","25,874.21","25,478.90","-","1.54%"
"Oct 10, 2019","25,478.90","25,374.29","25,508.57","25,356.92","-","0.41%"
